alias,target,note,rate
GOLD,xyz:GOLD,Hyperliquid app route uses builder DEX xyz,
SAMSUNG,xyz:SMSN,Samsung Electronics on xyz,
QQQ,xyz:XYZ100,Nasdaq100,41.08710316
Korea,xyz:EWY,,0.023255814
SPY,xyz:SP500,SPY,10
BRENTOIL,xyz:BRENTOIL,BRENTOIL,
WTI,xyz:WTIOIL,WTI,
NATGAS,xyz:NATGAS,NATGAS,
SILVER,xyz:SILVER,SILVER,
PLATINUM,xyz:PLATINUM,PLATINUM,
PALLADIUM,xyz:PALLADIUM,PALLADIUM,
COPPER,xyz:COPPER,COPPER,
JPY,xyz:JPY,USD/JPY,
EUR,xyz:EUR,EUR/USD,
GBP,xyz:GBP,GBP/USD,
URNM,xyz:URNM,1 share of Sprott Uranium Miners ETF,
TSLA,xyz:TSLA,Tesla,
NVDA,xyz:NVDA,NVIDIA,
GOOGL,xyz:GOOGL,GOOGL,
INTC,xyz:INTC,Intel Corporation,
MU,xyz:MU,Micron Technology,
PLTR,xyz:PLTR,Palantir Technologies,
ORCL,xyz:ORCL,Oracle Corporation,
MSTR,xyz:MSTR,Strategy Inc (formerly MicroStrategy Incorporated),
MSFT,xyz:MSFT,Microsoft Corporation,
META,xyz:META,Meta Platforms,
AMZN,xyz:AMZN,Amazon,
AMD,xyz:AMD,Advanced Micro Devices,
AAPL,xyz:AAPL,Apple Inc,
COIN,xyz:COIN,Coinbase Global,
HOOD,xyz:HOOD,Robinhood Markets,
NFLX,xyz:NFLX,Netflix,
CRCL,xyz:CRCL,Circle Internet Group,
SNDK,xyz:SNDK,Sandisk Corporation,
RIVN,xyz:RIVN,Rivian Automotive,
USAR,xyz:USAR,USA Rare Earth,
TSM,xyz:TSM,1 American depositary share of Taiwan Semiconductor Manufacturing Company (TSMC),
SKHYNIX,xyz:SKHYNIX,SK hynix Inc,
SAMSUNG,xyz:SAMSUNG,Samsung Electronics Co,
HYUNDAI,xyz:HYUNDAI,Hyundai Motor Company,
JAPAN,xyz:EWJ,MSCI Japan ETF,0.001408451
TAIWAN,xyz:EWT,MSCI Taiwan ETF,0.002222222
BABA,xyz:BABA,Alibaba,
CRWV,xyz:CRWV,CoreWeave,
DKNG,xyz:DKNG,DraftKings,
HIMS,xyz:HIMS,HIMS,
COST,xyz:COST,Costco,
LLY,xyz:LLY,"shares in Eli Lilly and Company, a global pharmaceutical firm focused on developing treatments for diabetes, obesity, oncology, and immunology, with recent growth driven by demand for GLP-1 based therapies",
JP225,xyz:JP225,Japan 225,
KR200,xyz:KR200,Korea 200,
BIRD,xyz:BIRD,NewBird AI,
DRAM,xyz:DRAM,1 share of Roundhill Memory ETF (DRAM),
XLE,xyz:XLE,1 share of State Street Energy Select Sector SPDR ETF,
BX,xyz:BX,Blackstone Inc,
LITE,xyz:LITE,Lumentum Holdings Inc,
GME,xyz:GME,GameStop Corp,
RKLB,xyz:RKLB,Rocket Lab Corporation,
MRVL,xyz:MRVL,Marvell Technology,
ZM,xyz:ZM,Zoom Communications,
Brazil,xyz:EWZ,1 share of iShares MSCI Brazil ETF,
EBAY,xyz:EBAY,eBay Inc,
CBRS,xyz:CBRS,1 share of Class A common stock in Cerebras Systems Inc,
PURRDAT,xyz:PURRDAT,Hyperliquid Strategies Inc,
ARM,xyz:ARM,Arm Holdings plc,